severity,weather,road,light,lat,lon,highway,speed
property damage only,clear,dry,dark,44.73772012527422,-63.79567718692225,tertiary,50
property damage only,overcast,dry,dusk,44.93024524978445,-63.32198352115517,residential,40
property damage only,overcast,wet,daylight,44.70376862050319,-63.56871734144163,residential,10
property damage only,clear,dry,daylight,44.686146716476514,-63.604585271025805,highway,70
property damage only,clear,dry,daylight,44.63348141945274,-63.683000604724704,residential,40
property damage only,clear,dry,dark,44.68385851455158,-63.50073492080994,residential,50
property damage only,clear,dry,daylight,44.65833146051965,-63.67336573054935,secondary,50
property damage only,clear,dry,daylight,44.782475777132056,-63.728805981568016,secondary,50
property damage only,clear,dry,daylight,44.63564346043007,-63.676709244059936,primary,50
property damage only,clear,dry,daylight,44.71524129427873,-63.68002250852015,residential,40
property damage only,clear,dry,daylight,44.63326101143545,-63.61233178967747,secondary,50
property damage only,overcast,wet,daylight,44.719608252341345,-63.67228313936453,primary,50
property damage only,overcast,dry,daylight,44.66611959558393,-63.637099939596474,primary,50
property damage only,clear,dry,daylight,44.71086233932207,-63.697077492356506,highway,100
non-fatal injury,overcast,wet,daylight,44.73409032386424,-63.80621101320976,secondary,70
property damage only,clear,dry,daylight,44.65134802395776,-63.63683730466365,residential,40
property damage only,clear,dry,dark,44.739085987290785,-63.79732527879662,tertiary,50
property damage only,rain,wet,dusk,44.665707041468,-63.484633587629155,residential,40
property damage only,clear,dry,dark,44.668797798749694,-63.57697897379124,residential,40
property damage only,rain,wet,daylight,44.670062125518136,-63.50992649726387,residential,40
property damage only,clear,dry,daylight,44.64043226676509,-63.597742637223206,secondary,50
non-fatal injury,overcast,dry,daylight,44.83032773281284,-63.59427503797452,highway,110
property damage only,clear,dry,dark,44.68353290878459,-63.42078055375076,secondary,70
property damage only,rain,wet,dark,44.65806105061077,-63.632483588647574,secondary,50
non-fatal injury,clear,dry,daylight,44.92372135231234,-62.298794561515486,residential,40
non-fatal injury,clear,dry,daylight,44.747328759701254,-63.629224429123184,residential,40
non-fatal injury,clear,dry,daylight,44.63479747359485,-63.63755143184617,residential,40
property damage only,clear,dry,dark,44.71975274299016,-63.68583302863791,residential,40
property damage only,clear,dry,dusk,44.65119086030926,-63.58545593357477,residential,40
non-fatal injury,clear,dry,daylight,44.747328759701254,-63.629224429123184,residential,40
property damage only,clear,dry,daylight,44.67341172990999,-63.49128356840576,residential,40
property damage only,clear,dry,dark,44.65495665972026,-63.673175324479345,highway,100
property damage only,clear,dry,daylight,44.67279310225867,-63.47795554349115,residential,40
property damage only,clear,dry,daylight,44.65048970950806,-63.58172850286104,primary,60
property damage only,clear,dry,dark,44.7250327579988,-63.440199531419104,residential,40
property damage only,overcast,dry,daylight,44.79547459731731,-63.707400652679034,residential,50
property damage only,clear,dry,daylight,44.69804014882304,-63.58181314286164,residential,40
property damage only,clear,dry,daylight,44.670596977643626,-63.5289053638088,residential,40
non-fatal injury,clear,dry,daylight,44.75270510343352,-63.6638610868994,residential,40
property damage only,clear,dry,daylight,44.61469677706413,-63.61420367307205,residential,40
non-fatal injury,clear,dry,daylight,44.787210874992375,-63.58129239890632,highway,100
property damage only,clear,dry,daylight,44.60189107371579,-63.46667566225553,tertiary,50
property damage only,clear,dry,daylight,44.72268550708088,-63.40041890844036,residential,40
property damage only,clear,dry,daylight,44.66994894581645,-63.5288742388111,residential,40
property damage only,clear,dry,daylight,44.69962158407357,-63.689129516088606,secondary,50
property damage only,rain,wet,daylight,44.7645361025871,-63.64942699681579,secondary,50
non-fatal injury,clear,dry,dark,44.59007751948892,-63.9161287609143,primary,70
property damage only,clear,dry,daylight,44.68500792477532,-63.67603444429736,residential,40
property damage only,clear,dry,daylight,44.663790637813,-63.64941124398083,residential,40
property damage only,clear,dry,daylight,44.649762125434215,-63.584937108731914,primary,60
property damage only,clear,dry,daylight,44.64212084057533,-63.58808838702326,residential,50
property damage only,clear,dry,daylight,44.66834238288292,-63.559956390993314,secondary,50
property damage only,clear,dry,dark,44.63104217722216,-63.63292128452134,secondary,50
non-fatal injury,clear,dry,daylight,44.776423722595936,-63.69602056294418,secondary,70
property damage only,rain,wet,dark,44.62046383292152,-63.6646842447215,residential,40
property damage only,clear,dry,daylight,44.612571682140384,-63.61763456029691,secondary,50
non-fatal injury,clear,dry,daylight,44.704821311549985,-63.6140324522303,residential,40
property damage only,clear,dry,dawn,44.830320902612534,-63.593857497830165,highway,110
property damage only,clear,dry,dark,44.58659022825321,-63.91654009216917,primary,70
property damage only,clear,dry,daylight,44.61326624925515,-63.62400663238534,residential,40
property damage only,clear,dry,dawn,44.76815751453868,-63.69784210843302,residential,40
property damage only,overcast,dry,daylight,44.66611959558393,-63.637099939596474,primary,50
property damage only,rain,wet,daylight,44.662627528220696,-63.654456503420406,secondary,60
property damage only,rain,wet,daylight,44.60448170240625,-63.61200417714272,secondary,50
property damage only,clear,dry,dark,44.682304559568266,-63.57457673295444,residential,40
non-fatal injury,rain,wet,daylight,44.67153931444,-63.523678288944545,residential,40
property damage only,rain,wet,daylight,44.652049710384375,-63.6304381976809,secondary,50
property damage only,rain,wet,dark,44.66279494800235,-63.6550890926688,secondary,50
property damage only,clear,dry,daylight,44.641852412226825,-63.620113995671296,primary,30
property damage only,clear,dry,daylight,44.60339063597122,-63.598748806613045,residential,40
property damage only,clear,dry,daylight,44.645411831581946,-63.58710019916913,residential,40
property damage only,overcast,dry,daylight,44.778359750879176,-63.682507185058284,residential,50
property damage only,clear,dry,daylight,44.633129452570024,-63.61836948753247,residential,40
property damage only,overcast,dry,daylight,44.6986772553984,-63.483848295831095,primary,60
property damage only,clear,dry,dark,44.6626092221873,-63.62559529889021,residential,40
property damage only,clear,dry,dark,44.641852412226825,-63.620113995671296,primary,30
non-fatal injury,clear,dry,daylight,44.70127319985852,-63.67790249268014,tertiary,50
non-fatal injury,clear,dry,daylight,44.65829997889645,-63.6332303613068,residential,40
property damage only,clear,dry,daylight,44.67478654294569,-63.57655896188145,residential,40
property damage only,clear,dry,daylight,44.71759210869173,-63.705062173368646,residential,40
property damage only,clear,dry,daylight,44.649504350218294,-63.54609191664818,residential,40
property damage only,clear,dry,daylight,44.679239285679984,-63.58432514135488,primary,30
property damage only,overcast,dry,daylight,44.6902217967437,-63.06562439108736,residential,40
non-fatal injury,rain,dry,daylight,44.63213183935624,-63.65833717652559,residential,40
property damage only,clear,dry,dark,44.656380039141034,-63.54277623579655,residential,40
property damage only,overcast,dry,daylight,44.75586333268499,-63.66258327520194,residential,40
property damage only,clear,dry,dark,44.6546678635688,-63.581530638411934,primary,60
property damage only,clear,dry,daylight,44.68161721042755,-63.54207807546046,primary,50
property damage only,clear,dry,daylight,44.67146929692531,-63.5329756489503,residential,40
property damage only,clear,dry,daylight,44.65745513046626,-63.59617691412066,residential,40
property damage only,overcast,dry,daylight,44.70529130113976,-63.56664939905328,residential,20
property damage only,clear,dry,daylight,44.64206835718251,-63.57003087729762,tertiary,50
property damage only,overcast,dry,daylight,44.78897701182458,-63.692378947583265,secondary,50
non-fatal injury,clear,dry,dark,44.83464223290735,-63.680906584473945,residential,50
property damage only,overcast,dry,daylight,44.702476086459384,-63.56066400798853,highway,100
property damage only,clear,dry,daylight,44.66973351465817,-63.524835280794534,tertiary,40
property damage only,clear,dry,daylight,44.638598891287344,-63.597143805366485,secondary,50
property damage only,clear,dry,daylight,44.642987154028674,-63.59117393557807,tertiary,50
property damage only,overcast,dry,daylight,44.63081915364368,-63.63255325224094,secondary,80
property damage only,overcast,dry,daylight,44.641852412226825,-63.620113995671296,primary,30
property damage only,overcast,dry,daylight,44.641691335180525,-63.61993574622941,primary,60
property damage only,clear,dry,daylight,44.6513617600468,-63.590729316770954,residential,40
non-fatal injury,overcast,wet,daylight,44.65179539936096,-63.65326267062955,residential,40
property damage only,overcast,dry,daylight,44.65346049952342,-63.612720884256014,secondary,50
non-fatal injury,clear,dry,daylight,44.77856890797166,-63.698536276199086,primary,50
property damage only,overcast,ice,dark,44.79427727056605,-63.72321471494456,residential,40
property damage only,clear,dry,dark,44.6351702024216,-63.63851373069596,secondary,80
property damage only,clear,dry,daylight,44.82832464771927,-63.68057919559804,secondary,70
property damage only,rain,wet,dark,44.668797798749694,-63.57697897379124,residential,40
property damage only,clear,dry,dusk,44.65796862639431,-63.672302033586405,residential,40
property damage only,rain,wet,daylight,44.69344748818971,-63.4983564949262,secondary,60
property damage only,rain,wet,daylight,44.70328524117711,-63.85796638624798,primary,70
property damage only,rain,wet,dark,44.64168057933202,-63.616934561813075,residential,40
property damage only,clear,dry,daylight,44.67162467913799,-63.57695655707485,residential,40
property damage only,rain,wet,daylight,44.654680093844384,-63.59488724487106,primary,60
property damage only,clear,dry,daylight,44.698378978155105,-63.60496498822515,residential,40
property damage only,rain,wet,daylight,44.70048887157096,-63.567486114307655,tertiary,50
property damage only,clear,dry,daylight,44.641691335180525,-63.61993574622941,primary,60
property damage only,clear,wet,daylight,44.65458377483142,-63.58740714588631,residential,40
property damage only,clear,dry,daylight,44.6661396232191,-63.59844829161107,residential,40
property damage only,clear,dry,daylight,44.636221358645386,-63.668772698418856,residential,40
property damage only,clear,dry,daylight,44.6610420954683,-63.58671553111472,primary,50
property damage only,clear,dry,daylight,44.65690483792806,-63.675606916585465,residential,40
property damage only,clear,dry,dark,44.99904145018608,-63.42557018456595,residential,40
property damage only,clear,dry,dark,44.697741514028806,-63.604642807939456,residential,40
property damage only,overcast,dry,daylight,44.69256106878306,-63.4972509025953,secondary,60
property damage only,clear,dry,daylight,44.64719266145632,-63.60296985323206,residential,40
property damage only,clear,dry,daylight,44.6419185738243,-63.619534659383845,residential,40
property damage only,clear,dry,daylight,44.67213321199025,-63.58141510021682,secondary,50
property damage only,clear,dry,daylight,44.64255141466846,-63.62070148941644,residential,40
property damage only,clear,dry,daylight,44.77007070288385,-63.6926332456663,residential,40
property damage only,clear,dry,dark,44.64175191117396,-63.59500730486954,residential,40
non-fatal injury,clear,dry,daylight,44.64239871740475,-63.568773142868146,tertiary,50
property damage only,clear,dry,dark,44.64528494528757,-63.573088854452514,residential,40
property damage only,clear,dry,daylight,44.64974076313949,-63.574961367626386,secondary,50
property damage only,clear,dry,daylight,44.69794316328387,-63.493409466246455,primary,60
property damage only,clear,dry,dark,44.60177572899672,-63.60282751267572,residential,40
property damage only,clear,dry,daylight,44.662114093896875,-63.65764206005576,tertiary,50
property damage only,clear,dry,daylight,44.637888698581115,-63.57053212815119,residential,40
property damage only,clear,dry,daylight,44.68673544008316,-63.6022063455358,residential,40
property damage only,clear,wet,daylight,44.72929401202394,-63.58580129629442,tertiary,50
property damage only,clear,dry,daylight,44.6827049502696,-63.53476952595033,residential,40
non-fatal injury,clear,dry,dusk,44.739387186322666,-63.31973517714237,residential,40
property damage only,clear,dry,daylight,44.660569632988995,-63.66627755004693,residential,40
non-fatal injury,clear,dry,daylight,44.64941002781666,-63.572700692893946,residential,40
property damage only,clear,dry,daylight,44.78392733380131,-63.10218558808437,residential,40
property damage only,clear,dry,dark,44.655799076559674,-63.289661114356505,secondary,60
property damage only,clear,dry,daylight,44.619288183260025,-63.50178041691264,residential,40
property damage only,clear,dry,daylight,44.66006255705055,-63.595081030789046,residential,30
property damage only,clear,dry,daylight,44.68075169595764,-63.59478805598078,residential,40
property damage only,rain,snow,daylight,44.89435320665867,-63.459105852147026,residential,40
property damage only,clear,dry,daylight,44.71200424716703,-63.69730582161787,highway,100
property damage only,rain,wet,daylight,44.663474554088786,-63.60534610182702,residential,40
property damage only,rain,wet,daylight,44.66037838860663,-63.60860603025529,residential,40
property damage only,overcast,dry,daylight,44.71421772788863,-63.59226482340307,primary,50
non-fatal injury,snow,snow,daylight,44.633800504098446,-63.71471303398778,highway,110
property damage only,rain,wet,daylight,44.72425982241952,-63.70409508236755,tertiary,50
property damage only,overcast,wet,daylight,44.64539129148642,-63.57699910773992,tertiary,50
property damage only,clear,dry,daylight,44.64689474800157,-63.59454284089378,residential,40
property damage only,clear,dry,daylight,44.72836498422067,-63.74797790554928,secondary,60
non-fatal injury,snow,wet,daylight,44.65169901515384,-63.61717949327124,residential,40
property damage only,clear,wet,daylight,44.6639197587196,-63.6456914503116,residential,40
non-fatal injury,overcast,wet,daylight,44.83837245119824,-63.678837572014864,secondary,70
property damage only,clear,dry,dusk,44.6526715397559,-63.63031881542671,secondary,50
property damage only,clear,dry,daylight,44.67857044975808,-63.552295107934285,residential,40
property damage only,clear,dry,dark,44.68444015625995,-63.59180990209402,highway,55
property damage only,clear,dry,daylight,44.645918094400635,-63.64511340068765,highway,100
property damage only,clear,dry,daylight,44.688642518297755,-63.59388446891002,highway,100
property damage only,snow,snow,daylight,44.641691335180525,-63.61993574622941,primary,60
non-fatal injury,clear,dry,daylight,44.61735903660012,-63.6163366515007,residential,40
non-fatal injury,overcast,snow,daylight,44.75037135394378,-63.23809711148253,residential,40
property damage only,clear,dry,daylight,44.72124543196788,-63.72686253174082,residential,40
property damage only,clear,dry,dark,44.981436193551225,-63.46198193855646,residential,40
property damage only,clear,dry,daylight,44.650055580651944,-63.65367192616826,residential,40
property damage only,overcast,wet,dawn,44.673087099113026,-63.57437209946783,primary,60
property damage only,clear,wet,daylight,44.65649406051092,-63.592294952548365,primary,60
property damage only,clear,dry,daylight,44.64321345105244,-63.604694014504446,primary,60
property damage only,clear,dry,daylight,44.67106094751814,-63.50189892082162,secondary,60
property damage only,clear,dry,daylight,44.657351187790326,-63.598837178105306,secondary,50
property damage only,clear,dry,daylight,44.68156365517532,-63.54576208702476,primary,50
property damage only,clear,dry,dark,44.69455503889278,-63.56227878678914,highway,100
property damage only,clear,dry,daylight,44.6529023311474,-63.592245780446454,residential,40
property damage only,snow,snow,daylight,44.78509865408068,-62.7689401164857,residential,40
property damage only,clear,dry,daylight,44.65076147983033,-63.65302405705346,residential,40
property damage only,snow,snow,daylight,44.649026456372184,-63.54625137710188,residential,40
property damage only,overcast,snow,daylight,44.59036530569002,-63.593311117446184,residential,50
property damage only,snow,snow,dawn,44.8038659889912,-63.60024983767895,highway,100
non-fatal injury,rain,ice,daylight,44.530249361146375,-63.7517178254029,secondary,50
property damage only,snow,wet,dark,44.815735335029885,-63.59769170970255,highway,110
property damage only,snow,snow,daylight,44.77589719638886,-63.047344651203055,residential,40
property damage only,snow,snow,daylight,44.707023762718805,-63.4222509468289,residential,40
property damage only,snow,snow,daylight,44.7405380470151,-63.38975522691003,residential,40
property damage only,snow,snow,dark,44.66534924077274,-63.56993100786332,secondary,50
property damage only,clear,dry,daylight,44.65153922816459,-63.61676161336966,residential,40
property damage only,snow,snow,dark,44.63553240630054,-63.65089895974051,primary,70
property damage only,overcast,snow,dawn,44.780931459266434,-63.71390949500964,secondary,50
property damage only,snow,snow,daylight,44.58870692014918,-63.70016372786827,secondary,50
property damage only,snow,snow,daylight,44.71384215753532,-63.50149842326103,tertiary,50
property damage only,overcast,snow,daylight,44.61318254871839,-63.474857447674765,residential,30
property damage only,snow,ice,daylight,44.77627287962262,-62.972864488712,residential,40
property damage only,snow,snow,daylight,44.71384215753532,-63.50149842326103,tertiary,50
property damage only,snow,snow,dark,44.662485139044925,-63.6382584667725,residential,40
property damage only,snow,snow,daylight,44.66658792477554,-63.56885826092523,residential,40
property damage only,overcast,wet,daylight,44.665336915816695,-63.62065445830554,residential,40
property damage only,snow,snow,daylight,44.64161411375654,-63.620893247594026,primary,30
property damage only,clear,snow,daylight,44.665039531497925,-63.59534639559137,residential,40
property damage only,clear,dry,dark,44.671005660228026,-63.53201259151173,tertiary,50
property damage only,snow,snow,daylight,44.6365343886804,-63.57311619246767,residential,40
property damage only,clear,dry,daylight,44.70831252748325,-63.561907004462114,residential,20
property damage only,clear,wet,dark,44.65468613824491,-63.595454862704216,residential,40
property damage only,snow,snow,dark,44.62073923094455,-63.61721694781587,secondary,50
property damage only,snow,snow,dark,44.68360097184926,-63.59565003996223,residential,40
property damage only,overcast,dry,daylight,44.64586754551705,-63.5735990086219,secondary,50
property damage only,clear,dry,daylight,44.70558260785878,-63.45071887802017,residential,50
property damage only,overcast,dry,daylight,44.74593456016642,-63.683830860130776,residential,40
property damage only,clear,dry,daylight,44.665300751785296,-63.61066326380072,secondary,50
non-fatal injury,clear,dry,daylight,44.879175762789146,-63.583344499447186,residential,40
non-fatal injury,clear,dry,daylight,44.770035408443995,-63.69695482632121,residential,40
property damage only,snow,snow,daylight,44.6919428492969,-63.56258164210938,highway,100
property damage only,clear,dry,daylight,44.659909817821536,-63.63513990706664,residential,40
property damage only,snow,snow,dark,44.63553240630054,-63.65089895974051,primary,70
property damage only,clear,dry,daylight,44.67106326220558,-63.53317378218177,secondary,50
property damage only,clear,dry,dark,44.64455090400019,-63.57405260962608,residential,40
property damage only,overcast,dry,daylight,44.65014052755988,-63.59533268204494,tertiary,50
property damage only,clear,dry,daylight,44.66659899947171,-63.56844207621019,tertiary,50
property damage only,rain,wet,dark,44.66622839232922,-63.636962367897006,tertiary,50
non-fatal injury,snow,snow,dark,44.64359237500497,-63.57490063340706,tertiary,50
property damage only,overcast,dry,daylight,44.7909158322616,-63.616385833672126,residential,40
property damage only,rain,wet,dark,44.694679156269736,-63.69212518478782,secondary,50
property damage only,rain,wet,daylight,44.66351934728732,-63.5312124890386,residential,40
property damage only,rain,wet,daylight,44.66834238288292,-63.559956390993314,secondary,50
property damage only,rain,wet,daylight,44.666988603919464,-63.543897044929714,residential,40
non-fatal injury,clear,dry,dark,44.66133103625682,-63.66383919456496,secondary,50
property damage only,clear,dry,daylight,44.68123822143899,-63.66645130946326,secondary,50
property damage only,clear,dry,daylight,44.70415473954362,-63.46555256056232,primary,60
property damage only,clear,dry,daylight,44.671003707592725,-63.53435913046496,secondary,50
property damage only,clear,dry,daylight,44.67153931444,-63.523678288944545,residential,40
property damage only,clear,dry,daylight,44.681279599578026,-63.65932254432181,primary,50
property damage only,clear,dry,daylight,44.6364926928018,-63.58489204154041,secondary,50
property damage only,clear,dry,daylight,44.74222890523242,-63.317590873297306,residential,40
property damage only,clear,dry,daylight,44.638203064353334,-63.704516140302104,primary,50
property damage only,clear,dry,dawn,44.641852412226825,-63.620113995671296,primary,30
property damage only,clear,dry,daylight,44.765550411202106,-63.66247918549938,residential,40
property damage only,clear,dry,daylight,44.70007722756466,-63.68821350018259,residential,40
property damage only,clear,dry,dark,44.631847772674185,-63.52163183286568,secondary,60
property damage only,clear,dry,daylight,44.64064955547099,-63.56931086281368,tertiary,50
property damage only,clear,dry,daylight,44.65861391526537,-63.671262594465226,secondary,50
property damage only,clear,dry,dark,44.65738716366844,-63.63224922980558,secondary,50
property damage only,clear,dry,daylight,44.80512928847333,-63.60480252838692,residential,40
property damage only,overcast,dry,daylight,44.66843024800902,-63.56587383037174,residential,50
property damage only,clear,dry,dawn,44.63814044509818,-63.577759421451034,secondary,50
property damage only,clear,dry,daylight,44.6841065789859,-63.53150154831076,residential,40
property damage only,overcast,wet,daylight,44.68361706476767,-63.53607763657194,residential,40
property damage only,clear,dry,daylight,44.67013962394713,-63.61818257159631,residential,40
property damage only,clear,dry,daylight,44.75752076352568,-63.6670496335141,residential,40
property damage only,clear,dry,dark,44.782340179708015,-63.69125048413774,secondary,60
property damage only,clear,dry,daylight,44.66681420839626,-63.5214533503448,residential,40
property damage only,clear,dry,daylight,44.79799811052273,-63.68926272374875,secondary,50
property damage only,clear,dry,daylight,44.647742220368606,-63.71664974114014,primary,50
property damage only,clear,dry,daylight,45.14790323412308,-62.9325677714815,residential,40
property damage only,clear,dry,dusk,44.68115580583749,-63.66669010843518,secondary,50
property damage only,clear,dry,daylight,44.651760634478656,-63.67776685208083,residential,20
property damage only,clear,dry,daylight,44.68444961740702,-63.52935948645698,tertiary,50
property damage only,clear,dry,daylight,44.699114169783506,-63.58480269045972,tertiary,50
property damage only,clear,dry,daylight,44.67021182069782,-63.564238505766745,residential,40
property damage only,overcast,wet,daylight,44.73355276415486,-63.655268580228416,residential,40
property damage only,strong wind,wet,dark,44.64909596418322,-63.649877804799985,secondary,60
property damage only,rain,wet,daylight,44.70722163056162,-63.58902491226377,secondary,50
property damage only,clear,dry,daylight,44.67378717281138,-63.64556129963368,residential,40
property damage only,rain,wet,daylight,44.72348433337016,-63.640065291248774,primary,90
property damage only,clear,wet,dark,44.715668481180344,-63.72046728870724,residential,40
property damage only,rain,wet,dark,44.660971741764286,-63.59681841066906,residential,40
property damage only,clear,dry,daylight,44.66314669050881,-63.63424179918173,residential,40
property damage only,strong wind,wet,dark,44.6285079682301,-63.625569259584374,residential,40
non-fatal injury,rain,wet,dawn,44.65966952102982,-63.66625462766156,residential,40
non-fatal injury,rain,wet,daylight,44.71804386553726,-63.674992263903754,tertiary,50
property damage only,rain,wet,daylight,44.66220968117414,-63.62622170135356,residential,40
property damage only,rain,wet,daylight,44.6848742371516,-63.55186286478746,highway,80
property damage only,clear,wet,dark,44.6510103481959,-63.36766503783373,secondary,60
property damage only,clear,dry,daylight,44.87806123831464,-63.53327139676129,residential,40
property damage only,rain,wet,daylight,44.67034911636521,-63.497931430118925,residential,20
non-fatal injury,rain,wet,dusk,44.634384603090425,-63.52596648066598,secondary,60
property damage only,clear,dry,daylight,44.70085832676046,-63.56377874419954,secondary,70
property damage only,clear,dry,daylight,44.636591745312984,-63.63705413334409,primary,50
non-fatal injury,clear,dry,daylight,44.700769187578096,-63.85974684267042,primary,70
property damage only,clear,dry,daylight,44.77378917390577,-63.69105999706883,residential,40
property damage only,clear,dry,daylight,44.77378917390577,-63.69105999706883,residential,40
property damage only,clear,dry,dark,44.64531190508573,-63.594236635138294,residential,40
